session_id,search_id,search_time,session_starting_time,booking_id
322,784,2020-01-21 21:35:38.910000,2020-01-21 21:10:12,0.0
322,776,2020-01-21 21:37:37.697000,2020-01-21 21:10:12,0.0
322,623,2020-01-21 21:36:11.392000,2020-01-21 21:10:12,0.0
322,270,2020-01-21 21:16:07.685000,2020-01-21 21:10:12,0.0
322,905,2020-01-21 21:34:55.673000,2020-01-21 21:10:12,0.0
322,506,2020-01-21 21:10:58.482000,2020-01-21 21:10:12,54.0
283,880,2020-01-21 05:33:48.061000,0,106.0
194,312,2019-09-05 09:04:40.423000,2019-09-05 09:04:32,1.0
52,1227,2020-01-20 16:54:07.232000,0,0.0
52,1110,2020-01-20 17:03:52.145000,0,282.0
229,420,2019-09-07 22:23:15.942000,2019-09-07 22:00:05,0.0
229,292,2019-09-07 22:25:06.214000,2019-09-07 22:00:05,0.0
229,403,2019-09-07 22:00:15.256000,2019-09-07 22:00:05,0.0
229,695,2019-09-07 22:29:05.439000,2019-09-07 22:00:05,240.0
229,808,2019-09-07 22:22:19.052000,2019-09-07 22:00:05,0.0
229,445,2019-09-07 22:22:06.473000,2019-09-07 22:00:05,0.0
126,1140,0,2022-05-12 13:01:12,67.0
308,91,2018-11-09 12:41:01.242000,0,0.0
308,44,2018-11-09 12:01:42.152000,0,0.0
308,1291,2018-11-09 12:34:38.162000,0,0.0
308,91,2018-11-09 12:41:01.242000,0,0.0
308,4,2018-11-09 12:02:36.301000,0,52.0
308,91,2018-11-09 12:41:01.242000,0,0.0
309,1155,0,0,116.0
116,714,0,2021-12-11 18:32:34,0.0
116,245,0,2021-12-11 18:32:34,0.0
308,155,2018-11-09 12:34:14.903000,0,0.0
116,458,0,2021-12-11 18:32:34,0.0
116,199,0,2021-12-11 18:32:34,0.0
107,913,0,0,148.0
107,329,0,0,0.0
116,384,0,2021-12-11 18:32:34,231.0
285,216,2019-09-03 17:29:53.394000,2019-09-03 17:29:39,34.0
270,1133,0,2021-12-12 22:38:25,58.0
270,1133,0,2021-12-12 22:38:25,0.0
42,853,0,0,0.0
42,263,0,0,0.0
42,582,0,0,0.0
42,601,0,0,326.0
26,1261,2018-11-07 19:29:54.852000,0,81.0
160,1220,2020-01-26 13:20:13.178000,2020-01-26 12:56:26,0.0
160,451,2020-01-26 13:35:35.117000,2020-01-26 12:56:26,190.0
160,1176,2020-01-26 12:56:41.426000,2020-01-26 12:56:26,0.0
160,1174,2020-01-26 12:58:44.078000,2020-01-26 12:56:26,0.0
57,1277,2018-09-29 13:38:20.074000,2018-09-29 13:13:05,74.0
93,881,0,2021-11-08 15:43:09,0.0
160,984,2020-01-26 12:56:59.011000,2020-01-26 12:56:26,0.0
160,1026,2020-01-26 13:20:18.196000,2020-01-26 12:56:26,0.0
160,1179,2020-01-26 13:19:21.369000,2020-01-26 12:56:26,0.0
174,1340,2018-09-29 19:30:46.673000,2018-09-29 19:30:22,0.0
174,1325,2018-09-29 19:38:15.401000,2018-09-29 19:30:22,0.0
174,25,2018-09-29 19:35:13.617000,2018-09-29 19:30:22,23.0
93,858,0,2021-11-08 15:43:09,0.0
93,368,0,2021-11-08 15:43:09,0.0
93,829,0,2021-11-08 15:43:09,119.0
93,814,0,2021-11-08 15:43:09,0.0
93,870,0,2021-11-08 15:43:09,0.0
93,222,0,2021-11-08 15:43:09,0.0
167,1161,2020-01-24 08:20:18.386000,2020-01-24 07:47:05,0.0
261,357,2020-01-24 09:51:00.143000,2020-01-24 09:50:56,0.0
261,826,2020-01-24 09:52:47.429000,2020-01-24 09:50:56,0.0
261,826,2020-01-24 09:52:47.429000,2020-01-24 09:50:56,0.0
261,640,2020-01-24 10:10:24.470000,2020-01-24 09:50:56,0.0
261,640,2020-01-24 10:10:24.470000,2020-01-24 09:50:56,0.0
261,944,2020-01-24 10:13:57.148000,2020-01-24 09:50:56,0.0
57,7,2018-09-29 13:24:47.439000,2018-09-29 13:13:05,0.0
117,529,0,2021-12-16 21:00:08,0.0
117,815,0,2021-12-16 21:00:08,0.0
117,928,0,2021-12-16 21:00:08,0.0
167,1056,2020-01-24 08:24:58.759000,2020-01-24 07:47:05,261.0
261,640,2020-01-24 10:10:24.470000,2020-01-24 09:50:56,0.0
57,32,2018-09-29 13:23:49.292000,2018-09-29 13:13:05,0.0
167,1068,2020-01-24 08:21:26.366000,2020-01-24 07:47:05,0.0
261,1240,2020-01-24 10:23:40.733000,2020-01-24 09:50:56,0.0
261,1069,2020-01-24 10:32:01.971000,2020-01-24 09:50:56,0.0
261,826,2020-01-24 09:52:47.429000,2020-01-24 09:50:56,0.0
261,944,2020-01-24 10:13:57.148000,2020-01-24 09:50:56,0.0
261,1175,2020-01-24 10:26:41.143000,2020-01-24 09:50:56,0.0
261,1069,2020-01-24 10:32:01.971000,2020-01-24 09:50:56,0.0
261,1022,2020-01-24 10:28:55.113000,2020-01-24 09:50:56,0.0
261,1005,2020-01-24 10:31:31.612000,2020-01-24 09:50:56,0.0
261,826,2020-01-24 09:52:47.429000,2020-01-24 09:50:56,0.0
261,944,2020-01-24 10:13:57.148000,2020-01-24 09:50:56,0.0
261,1078,2020-01-24 10:37:10.169000,2020-01-24 09:50:56,323.0
261,1169,2020-01-24 10:25:31.586000,2020-01-24 09:50:56,0.0
261,995,2020-01-24 10:43:42.651000,2020-01-24 09:50:56,0.0
261,1137,2020-01-24 10:30:19.558000,2020-01-24 09:50:56,0.0
117,608,0,2021-12-16 21:00:08,0.0
117,590,0,2021-12-16 21:00:08,0.0
117,236,0,2021-12-16 21:00:08,0.0
117,399,0,2021-12-16 21:00:08,297.0
7,681,2020-01-23 14:09:24.591000,0,0.0
171,896,0,2021-11-09 03:59:18,48.0
171,896,0,2021-11-09 03:59:18,48.0
7,554,2020-01-23 14:05:25.435000,0,0.0
7,922,2020-01-23 13:56:48.659000,0,157.0
258,291,0,2020-09-03 13:30:37,0.0
258,809,0,2020-09-03 13:30:37,274.0
298,39,2018-09-25 16:47:42.775000,0,0.0
113,112,2018-09-25 18:25:59.574000,0,289.0
298,130,2018-09-25 16:40:20.684000,0,0.0
298,104,2018-09-25 16:46:18.816000,0,0.0
298,39,2018-09-25 16:47:42.775000,0,0.0
298,68,2018-09-25 16:11:27.181000,0,0.0
